SampleID,Condition,Replicate,bamReads,Peaks,PeakCaller,PeakFormat
MOLM24C_1,MOLM24C,1,data/banlist/MOLM24C_1.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24C_2,MOLM24C,2,data/banlist/MOLM24C_2.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24C_3,MOLM24C,3,data/banlist/MOLM24C_3.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24D_1,MOLM24D,1,data/banlist/MOLM24D_1.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24D_2,MOLM24D,2,data/banlist/MOLM24D_2.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24D_3,MOLM24D,3,data/banlist/MOLM24D_3.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24G_1,MOLM24G,1,data/banlist/MOLM24G_1.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24G_2,MOLM24G,2,data/banlist/MOLM24G_2.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24G_3,MOLM24G,3,data/banlist/MOLM24G_3.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24Q_1,MOLM24Q,1,data/banlist/MOLM24Q_1.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24Q_2,MOLM24Q,2,data/banlist/MOLM24Q_2.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24Q_3,MOLM24Q,3,data/banlist/MOLM24Q_3.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24X_1,MOLM24X,1,data/banlist/MOLM24X_1.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24X_2,MOLM24X,2,data/banlist/MOLM24X_2.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24X_3,MOLM24X,3,data/banlist/MOLM24X_3.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24Y_1,MOLM24Y,1,data/banlist/MOLM24Y_1.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24Y_2,MOLM24Y,2,data/banlist/MOLM24Y_2.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
MOLM24Y_3,MOLM24Y,3,data/banlist/MOLM24Y_3.banlist.filtered.rmdup.sorted.bam,data/counts/consensus_peaks.bed,macs2,bed
